date,venue,venue_id,venue_url,city,state,country,neighborhood,lat,lng,address,category,shout,source_app,source_url,with_name,with_id
1350158120,Лермонтова 43,5079c6a8e4b07d24b09c30f2,https://foursquare.com/v/5079c6a8e4b07d24b09c30f2,Minsk,Minsk City,Belarus,,53.887965093866356,27.511722772419684,,Home (private),Спать:),Foursquare for Android,https://foursquare.com/download/#/android,,
1350295232,Гуманитарный факультет БГУ,4f34cbf7e4b013ba9d42b123,https://foursquare.com/v/4f34cbf7e4b013ba9d42b123,Minsk,Minsk City,Belarus,,53.838130455825045,27.475877721117275,"ул. Курчатова, 5",College Arts Building,Пара матанализа на гумфаке решает.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350305118,Факультет радиофизики и компьютерных технологий БГУ,4d52821bbd6ff04d1d6dfc0c,https://foursquare.com/v/4d52821bbd6ff04d1d6dfc0c,Minsk,Minsk City,Belarus,,53.838279546690615,27.476082607856902,"ул. Курчатова, 5",College Technology Building,Cantina. My first course.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350421545,Jack Club,4d8f90e3cb9b224b49d99d41,https://foursquare.com/v/4d8f90e3cb9b224b49d99d41,Minsk,Minsk City,Belarus,,53.902703557032915,27.549176396793502,"ул. Немига, 12",Night Club,Didn't watch Germany Sweden. No comments.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350480737,Главпочтамт / Белпочта 220050,4ce2854698ab6a316fbd63e1,https://foursquare.com/v/4ce2854698ab6a316fbd63e1,Minsk,Minsk City,Belarus,,53.896315519105414,27.55179472307714,"просп. Независимости, 10",Post Office,Health certificate is done.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350480881,Минский городской исполнительный комитет,4ed752159a52145470b7be3c,https://foursquare.com/v/4ed752159a52145470b7be3c,Minsk,Minsk City,Belarus,,53.895245285529306,27.549228013932495,"просп. Независимости, 8",City Hall,No phone answer.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350483191,33-я городская студенческая поликлиника,4d01e44c6b0c236a3b8daba2,https://foursquare.com/v/4d01e44c6b0c236a3b8daba2,Minsk,Minsk City,Belarus,,53.92578731067596,27.58629156409449,"ул. Сурганова, 45, корп. 4",Medical Center,Arranged for tomorrow. Happy like hell.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350547938,Гуманитарный факультет БГУ,4f34cbf7e4b013ba9d42b123,https://foursquare.com/v/4f34cbf7e4b013ba9d42b123,Minsk,Minsk City,Belarus,,53.838130455825045,27.475877721117275,"ул. Курчатова, 5",College Arts Building,Phonetics. It seems like a bear's walked on both my ears.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350556175,Факультет радиофизики и компьютерных технологий БГУ,4d52821bbd6ff04d1d6dfc0c,https://foursquare.com/v/4d52821bbd6ff04d1d6dfc0c,Minsk,Minsk City,Belarus,,53.838279546690615,27.476082607856902,"ул. Курчатова, 5",College Technology Building,"Eat, eat, eat.",Foursquare for Android,https://foursquare.com/download/#/android,,
1350642874,Площадь Казинца,4dcc38ead4c088f3a80d72e7,https://foursquare.com/v/4dcc38ead4c088f3a80d72e7,Minsk,Minsk City,Belarus,,53.84411213191961,27.50522737251849,ул. Казинца,Plaza,Waiting for a bus.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350644470,Гуманитарный факультет БГУ,4f34cbf7e4b013ba9d42b123,https://foursquare.com/v/4f34cbf7e4b013ba9d42b123,Minsk,Minsk City,Belarus,,53.838130455825045,27.475877721117275,"ул. Курчатова, 5",College Arts Building,Comparative philology in russian is awfully terrible.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350660412,Остановка «Поворот на филиал БГУ»,4fd95f0ee4b0c5e9b9b7282b,https://foursquare.com/v/4fd95f0ee4b0c5e9b9b7282b,Minsk,Minsk City,Belarus,,53.84168238756655,27.478065372877914,МКАД,Bus Stop,The schedule of the buses in 18:30 PM is rather awkward.,Foursquare for Android,https://foursquare.com/download/#/android,,
1350663620,ПриорБанк,4e8adfd1cc215b0368311ff3,https://foursquare.com/v/4e8adfd1cc215b0368311ff3,Minsk,Minsk City,Belarus,,53.90172,27.547712,"ул. Немига, 30",Bank,,Foursquare for Android,https://foursquare.com/download/#/android,,
1350677569,Minsk Railway Station (Чыгуначны вакзал «Мінск-Пасажырскі»),4c255dca905a0f4764796160,https://foursquare.com/v/4c255dca905a0f4764796160,Minsk,Minsk City,Belarus,,53.89085594183186,27.550828365039173,"Бобруйская ул., 4",Rail Station,,Foursquare for Android,https://foursquare.com/download/#/android,,
1350712875,Остановка «Площадь Якуба Коласа»,4f7c94aae4b02e0090cbeaef,https://foursquare.com/v/4f7c94aae4b02e0090cbeaef,Minsk,Minsk City,Belarus,,53.91596679115183,27.58228583638467,пл. Якуба Коласа,Tram Station,,Foursquare for Android,https://foursquare.com/download/#/android,,
1350714148,33-я городская студенческая поликлиника,4d01e44c6b0c236a3b8daba2,https://foursquare.com/v/4d01e44c6b0c236a3b8daba2,Minsk,Minsk City,Belarus,,53.92578731067596,27.58629156409449,"ул. Сурганова, 45, корп. 4",Medical Center,,Foursquare for Android,https://foursquare.com/download/#/android,,
1350739322,"Магазин ""Молдова""",4f549507e4b063296f51f8e4,https://foursquare.com/v/4f549507e4b063296f51f8e4,Minsk,Minsk City,Belarus,,53.87680210319762,27.532333617926465,"Брилевская, 5",Food and Beverage Retail,Patria;),Foursquare for Android,https://foursquare.com/download/#/android,,
1350827566,Остров чистоты,4f7ae386e4b0e204105ee5b5,https://foursquare.com/v/4f7ae386e4b0e204105ee5b5,Minsk,Minsk City,Belarus,,53.894290972735966,27.519107974772822,"ул. Карла Либкнехта, 92",Food and Beverage Retail,,Foursquare for Android,https://foursquare.com/download/#/android,,
1350828680,Суперпрод,4f7ae16ae4b00fc6db0ec224,https://foursquare.com/v/4f7ae16ae4b00fc6db0ec224,Minsk,Minsk City,Belarus,,53.89330228516409,27.514090510582168,"ул. К. Либкнехта, 108",Department Store,,Foursquare for Android,https://foursquare.com/download/#/android,,
1350883969,33-я городская студенческая поликлиника,4d01e44c6b0c236a3b8daba2,https://foursquare.com/v/4d01e44c6b0c236a3b8daba2,Minsk,Minsk City,Belarus,,53.92578731067596,27.58629156409449,"ул. Сурганова, 45, корп. 4",Medical Center,,Foursquare for Android,https://foursquare.com/download/#/android,,
1350887123,Главпочтамт / Белпочта 220050,4ce2854698ab6a316fbd63e1,https://foursquare.com/v/4ce2854698ab6a316fbd63e1,Minsk,Minsk City,Belarus,,53.896315519105414,27.55179472307714,"просп. Независимости, 10",Post Office,,Foursquare for Android,https://foursquare.com/download/#/android,,
1350889123,Карандаш,4ec97f2aa17c63c8fbbf1236,https://foursquare.com/v/4ec97f2aa17c63c8fbbf1236,Minsk,Minsk City,Belarus,,53.89450427516094,27.546506058704146,ТЦ «Столица»,Print Store,,Foursquare for Android,https://foursquare.com/download/#/android,,
1350890051,Белорусский государственный университет (БГУ) / Belarusian State Univesity (BSU),4c518d0c0f39b71339681b00,https://foursquare.com/v/4c518d0c0f39b71339681b00,Minsk,Minsk City,Belarus,,53.89372628826412,27.54816016692087,"просп. Независимости, 4",University,,Foursquare for Android,https://foursquare.com/download/#/android,,
